Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
7/21/2019 18:32:28,Bird,Perkins The Parakeer,Perkins,3,Parakeet
7/21/2019 18:32:57,Dog,Kookie (pronounced Cookie) Pants,Noodle,15,Jack Russell Terrier  / Mix
7/21/2019 18:33:31,Dog,Miss Maisy Cakes,Maisy,1,Rescue Mutt
7/21/2019 18:33:38,Dog,Han Solo,Solo,3,English Cocker Spaniel
7/21/2019 18:33:58,Dog,Lillith Anne,Lily,6,Alaskan Husky
7/21/2019 18:34:03,Dog,Michelangelo,Mikey,11,English Cocker Spaniel
7/21/2019 18:34:09,Dog,Freddie Beagle ,Fred Or Freddie ,11,Beagle  / Mix
7/21/2019 18:34:18,Dog,Pieper,Pooper,4,
7/21/2019 18:34:32,Other,Toilet Mimosa Gillan ,Togimi ,0.5,Betta fish 
7/21/2019 18:34:40,Dog,Jacob,Jake,6,Alaskan Husky
7/21/2019 18:34:41,Other,Drazil Marie,Drazil ,4,Bearded Dragon Lizard
7/21/2019 18:35:02,Dog,Titus Augustus,Tidy,9,American Foxhound
7/21/2019 18:35:06,Dog,Cirrus,Cirrus,2,Poodle
7/21/2019 18:35:15,Dog,Shelby,Shelby,14,Labrador Retriever
7/21/2019 18:35:30,Dog,Nimbus,Nimbus,0.5,Poodle
7/21/2019 18:35:31,Dog,Finn,Finn,1,Cavalier King Charles Spaniel 
7/21/2019 18:35:32,Cat,Kitten Kitten Kittycat,Kitty ,14,American Longhair
7/21/2019 18:35:37,Dog,Tessie Joan (of Arc),Tessie ,7,American Foxhound
7/21/2019 18:35:38,Dog,Ginger,Ginger,12,Golden Retriever / Mix
7/21/2019 18:35:47,Dog,Sadie,Sadie,6,Golden Retriever / Mix
7/21/2019 18:35:54,Dog,Flicka,Flicky,12,Labrador Retriever
7/21/2019 18:35:57,Dog,Koda Kingslayer,Koda,2,Golden Retriever / Mix
7/21/2019 18:35:58,Dog,Flicka,Flicky,12,Labrador Retriever
7/21/2019 18:36:13,Dog,Maggie,Ms America ,7,Golden Retriever / Mix
7/21/2019 18:36:16,Dog,Henry (after Dorian Grey),Henry,1,Brittany
7/21/2019 18:36:26,Dog,Megan,Puppy,10,Mutt
7/21/2019 18:36:27,Cat,Dante’s Infurno,Dante,7,Maine Coon
7/21/2019 18:36:40,Cat,Gatsby,Gatsby,10,"Stray, black"
7/21/2019 18:36:42,Cat,Tyrone,Tyrone,0.5,
7/21/2019 18:36:49,Dog,Hopper T. Dog,Hops,6,Golden Retriever / Mix
7/21/2019 18:36:56,Dog,Snickers,Snickers,10,Beagle  / Mix
7/21/2019 18:36:58,Cat,Tommy Toe,Tommy,3,
7/21/2019 18:37:04,Cat,Wheels,Wheels,16,
7/21/2019 18:37:07,Dog,Venkman,Venk,5,Golden Retriever / Mix
7/21/2019 18:37:07,Cat,Maisie ,Maisie,10,"Stray, black"
7/21/2019 18:37:21,Dog,Murphy,Murph,0.5,Cocker spaniel
7/21/2019 18:37:25,Dog,Maggie,Schmieg,12,Golden Retriever / Mix
7/21/2019 18:37:28,Cat,Lin Meow Miranda,Lin,3,American Shorthair
7/21/2019 18:37:38,Dog,Jasmine,Jasmine,13,Golden Retriever / Mix
7/21/2019 18:37:53,Dog,Hurley Pearly Sky-sky,Hurley,7,Shih Tzu
7/21/2019 18:37:54,Dog,Queso,Queso,14,Golden Retriever / Mix
7/21/2019 18:38:01,Dog,Breezy Anne,Breezy,5,German Shepherd / Mix
7/21/2019 18:38:09,Dog,Riley,Riley,7,Golden Retriever / Mix
7/21/2019 18:38:18,Other,Fishy Fishy Fishy Iii,Fishy,0.75,Siamese Fighting Fish (Beta)
7/21/2019 18:38:24,Dog,Homer J,Homer,10,Basenji Mix
7/21/2019 18:38:29,Dog,Tucker ,Tucker ,7,Golden Retriever / Mix
7/21/2019 18:38:58,Cat,Kitty Vegas,Vegas,6,Domestic Longhair
7/21/2019 18:39:10,Dog,Abby,Abby,3,Pit bull/Lab/Beagle/Chihuahua Mix/General mutt
7/21/2019 18:39:17,Dog,Shelby,Shelby,1,Blue Tick Coon Hound  / Mix
7/21/2019 18:39:18,Cat,Dr Gaius Baltar,Gusgus,10,Russian blue
7/21/2019 18:39:28,Dog,Oakley Dalton,Oaks,6,
7/21/2019 18:39:30,Dog,Lucy Lou ,Goose,9,Golden Retriever / Mix
7/21/2019 18:39:34,Cat,Vasquez ,Vasquez ,7,Domestic Shorthair-tortoise
7/21/2019 18:39:35,Dog,Niles Crane,Niles,4,Border Collie
7/21/2019 18:39:39,Dog,Little Lucky One,Lucky,13,Chihuahua 
7/21/2019 18:39:40,Dog,Benjamin Sebastian,Benjamin,7,Collie basset hound mix.
7/21/2019 18:39:46,Dog,Siris Maximus,Sirius,5,Alaskan Husky
7/21/2019 18:40:00,Dog,Blaze,Blaze,5,Labrador Retriever
7/21/2019 18:40:07,Dog,Brody ,Brody,11,Yorkshire Terrier  / Mix
7/21/2019 18:40:17,Cat,Ripley,Chubby Chubs,4,Domestic shorthair
7/21/2019 18:40:26,Dog,Director Of Chaos,D.O.C.,4,Boxer
7/21/2019 18:40:37,Cat,Josh Joshua Joshylin,Josh,6,Tuxedo cat
7/21/2019 18:40:41,Cat,Lisa,Lisa,deceased,
7/21/2019 18:40:56,Dog,Cody,Codes,11,Golden Retriever / Mix
7/21/2019 18:40:58,Cat,Nepeta ,Nepeta,2,Short haired
7/21/2019 18:41:13,Dog,Emma ,Rotta,6,Mittelspitz
7/21/2019 18:41:14,Cat,Leeloo Dallas Multipass,Leeloo,9,LaPerm
7/21/2019 18:41:16,Dog,Isabella Grace,Bella,7,Maltese
7/21/2019 18:41:19,Dog,Cookie Boogie,Boogie,3,
7/21/2019 18:41:21,Cat,Cataria,Tarie,2,
7/21/2019 18:41:23,Dog,Salina,Salina,2,Hound mix
7/21/2019 18:41:34,Dog,Theodore James,Theo,5,Maltese
7/21/2019 18:41:41,Dog,Ofelia,Ofie Lofie,15,Norwich Terrier
7/21/2019 18:41:44,Dog,Hermie,Hermie,3,Chocolate Lab/Pit Mix
7/21/2019 18:42:03,Other,Turtle,Turtle,5,
7/21/2019 18:42:14,Dog,Jackson Baines Hardin,Jackson,14,Shepherd mix
7/21/2019 18:42:22,Cat,Tali'zorah Vas Normandy,Tali,9,LaPerm
7/21/2019 18:42:24,Dog,Rudy,Rudy,12,Black Lab
7/21/2019 18:42:37,Other,Teddy,Teddy,3,
7/21/2019 18:42:41,Dog,Chuchi,Baby Chu,9,Toy Poodle
7/21/2019 18:42:50,Dog,Belle Silver,Bobo,3,Brittany
7/21/2019 18:42:51,Other,Fish,Swish,7,
7/21/2019 18:43:00,Dog,Phoebe Buffay,Phoeb,4.5,Staffordshire Terrier 
7/21/2019 18:43:03,Dog,Precious Presley ,Presley ,1,Lab mix
7/21/2019 18:43:20,Cat,Boots,Fuckoff,10,Black cat with white feet
7/21/2019 18:43:20,Dog,Sarah Jessica Parker,Parker,8,Beagle  / Mix
7/21/2019 18:43:49,Dog,Princess Leah ,Leah,8,Miniature schnauzer   / Mix
7/21/2019 18:43:53,Cat,Zeus,Zeus,2,
7/21/2019 18:44:10,Dog,Mr Duke Of Carol Stream,Boo-boo,10,Labrador Retriever
7/21/2019 18:44:28,Dog,Bruno Mars ,Bruno ,4,Shih Tzu
7/21/2019 18:44:35,Cat,Persephone,Persey,2,
7/21/2019 18:44:36,Dog,Reggie,Reg,8,Border Collie
7/21/2019 18:44:47,Cat,Momo,Momo,9,Domestic short hair
7/21/2019 18:44:48,Dog,Twixie,Gooben,2,Mix
7/21/2019 18:44:51,Dog,Kody,Kode,10,Golden Retriever / Mix
7/21/2019 18:44:57,Dog,Maverick Clinton ,Maverick ,10,Labrador Retriever
7/21/2019 18:45:02,Cat,Abbey Road,Abbey,3,Long-hair domestic
7/21/2019 18:45:16,Cat,Naga,Naga,6,Domestic short hair
7/21/2019 18:45:16,Dog,Sven,Bean,5,German Shepherd / Mix
7/21/2019 18:45:21,Dog,Lola,Lola,11,Poodle mix 
7/21/2019 18:45:31,Dog,Sophie ,Sophie,2,Rottweiler
7/21/2019 18:45:32,Cat,Stinky Pete,Pete And/or Stinky,18,Just a regular cat
7/21/2019 18:45:39,Cat,Gozer,Gozey,12,Black cat
7/21/2019 18:45:40,Dog,Lily Potter,Lil,2,German Shepherd / Mix
7/21/2019 18:45:52,Dog,Dougie Mcfly,Dougie,11,Cairn Terrier
7/21/2019 18:45:57,Dog,Rileyroo,Riley,2,Mutt
7/21/2019 18:46:04,Dog,Dobby,Boober ,4,Pembroke Welsh Corgi
7/21/2019 18:46:11,Cat,Sir Edward Julius Robert Kittybutt Iii,Eddie,16,Tiger cat
7/21/2019 18:46:37,Other,Chu-chu,Chu-chu,0,Ranchu
7/21/2019 18:47:07,Dog,Lando,Lando,5,Bernese Mountain Dog
7/21/2019 18:47:17,Dog,Tucker Paul,Tuck Tuck,6,Pit bull
7/21/2019 18:47:56,Dog,Schnitzel Von Krumm,Ninnel,11,Miniature Dachshund
7/21/2019 18:48:10,Dog,Wrigley,Wriglry Pigley,13,Beagle  / Mix
7/21/2019 18:48:39,Dog,Wally,Wal,0.33,Golden Retriever / Mix
7/21/2019 18:48:56,Dog,Snickers,Doodle ,11,Beagle  / Mix
7/21/2019 18:49:14,Dog,Charlie,Charlie,9,Cockapoo
7/21/2019 18:49:16,Dog,Brownie,Brownie ,13,Beagle  / Mix
7/21/2019 18:49:31,Cat,Maow,Kitkat,14,
7/21/2019 18:49:35,Dog,Echo,Beck,3,Corgi mix 
7/21/2019 18:49:52,Dog,Banky,Banky,10,Basset Hound
7/21/2019 18:49:56,Dog,Koda,Koda,6,Chihuahua 
7/21/2019 18:50:10,Dog,Clifford,Cliff,6,Labrador Mix
7/21/2019 18:50:12,Dog,Coco,Coco Bear,7,Morkie (Maltese/Yorkie)
7/21/2019 18:50:16,Dog,Charlie ,Charlie,8,Pit bull
7/21/2019 18:50:21,Dog,Mojo,Moj,5,Chiweenie
7/21/2019 18:50:27,Other,Wizarding Wonder,Wizwo,12,Shire x TB
7/21/2019 18:50:40,Dog,Hank,Hank,2,Boxer mix 
7/21/2019 18:51:01,Other,Thunderhawk,Thunder,21,Spanish mustang 
7/21/2019 18:51:12,Dog,Sebastian ,Fritz,15,Italian greyhound  / Mix
7/21/2019 18:51:23,Other,Cielo,Piglet ,4,
7/21/2019 18:51:38,Cat,Bebop Vincent,Beebs,5,Domestic short hair
7/21/2019 18:51:49,Other,Thalia,Thalia,4,
7/21/2019 18:52:09,Other,Morganna La Fey,Morganna,15,
7/21/2019 18:52:12,Cat,Maja,Maja,14,Grey
7/21/2019 18:52:13,Dog,Hank,Hanky,2,Yellow lab
7/21/2019 18:52:28,Dog,Ella,Ells Bells,14.5,Cocker spaniel
7/21/2019 18:52:30,Dog,Frappuccino,Frappie,7,Labradoodle
7/21/2019 18:52:36,Other,Texas Pony Smoke,Monster,2,
7/21/2019 18:52:41,Dog,Gracie,Grace,12,Shih Tzu
7/21/2019 18:52:53,Other,Khan,Khan,3,Spanish mustang 
7/21/2019 18:52:57,Dog,Phoebe,Phoebe,2,Goldendoodle
7/21/2019 18:53:04,Dog,Uma Strawn Mcguire,Uma,4,Golden mix 
7/21/2019 18:53:06,Dog,Buster,Boop Squared,13,Terrierist
7/21/2019 18:53:11,Other,Reno,Reno,0,
7/21/2019 18:53:19,Cat,Sketchy Missouri,Sketchy,12,Tortoiseshell
7/21/2019 18:53:22,Dog,Eva Marie,Eva,3,Chihuahua 
7/21/2019 18:53:27,Other,Boogieman,Boogie,5,
7/21/2019 18:53:30,Dog,Mia Hamm,Mia,11,Golden Retriever / Mix
7/21/2019 18:53:34,Cat,Charlie,Charile,18,Tabby
7/21/2019 18:53:38,Dog,Alia Atreides,Allie,5,Mutt
7/21/2019 18:53:51,Other,Legacy,Legacy,15,
7/21/2019 18:54:20,Other,Mambo No. 5,Mambo,2,Spanish mustang 
7/21/2019 18:54:32,Cat,Zoey,Zoe,4,
7/21/2019 18:54:32,Dog,Lexie,Lex,0.83,Golden Retriever / Mix
7/21/2019 18:54:37,Other,Mato Ma’hu’i,Mato,2,
7/21/2019 18:54:44,Dog,Bernard,Bernard ,5,Boxer
7/21/2019 18:55:05,Other,Starflower’s Jezebel,Jezebel,4,Spanish mustang 
7/21/2019 18:55:09,Cat,Jenna Nicole Rhea Lopez Horn,Jenna Jenna,8,
7/21/2019 18:55:10,Dog,Myles - His Roman Name Is Squirtacus Mylonius,Myles,10,Cockapoo
7/21/2019 18:55:22,Other,Diamond Lily,Lily,7,
7/21/2019 18:55:29,Dog,Millie,Millie,9.5,Shepherd mix
7/21/2019 18:55:37,Other,Gypsy Rose Lee,Gypsy,6,
7/21/2019 18:55:39,Other,Butters,Butters,1,Goldfish
7/21/2019 18:55:43,Dog,Bodhi,Bo,6,Golden Retriever / Mix
7/21/2019 18:55:55,Dog,Mooch,Mooch,9,Terrier mix
7/21/2019 18:55:56,Dog,Piper,Pipes,4,Woodle (wheaton terrier/poodle)
7/21/2019 18:56:06,Cat,Ramona,Ramona,12,
7/21/2019 18:56:07,Dog,Charles,Charlie,10,Corgi
7/21/2019 18:56:17,Other,Morning Glory,Glory,0,
7/21/2019 18:56:19,Dog,Willow,Willow,3,Sheepadoodle
7/21/2019 18:56:29,Other,Morning Mist,Misty ,0,
7/21/2019 18:56:29,Dog,Glamis Schedule K1,Kona,5,Golden Retriever / Mix
7/21/2019 18:56:50,Dog,Bandit Raye,Bandi,12,Farm dog
7/21/2019 18:56:51,Other,Syndicated Copper,Copper,0,
7/21/2019 18:57:02,Cat,Cleo,Cleo,13,DSH
7/21/2019 18:57:07,Cat,Sebastian Ninja Nutjob,Sebastian,11,Domestic Shorthair
7/21/2019 18:57:28,Dog,Anderson,Andy,12,Lab mix rescue 
7/21/2019 18:58:08,Dog,Mars Harambe,Pickle,3,Catahoula mix (maybe? Don’t really know)
7/21/2019 18:58:15,Dog,Claudio Atlas Wolfric,Claudio ,8,Dachshund 
7/21/2019 18:58:32,Other,Flufy,Flufy,10,Lionhead
7/21/2019 18:58:43,Dog,Lawson H Dog,Hogan,16,Briard
7/21/2019 18:58:49,Cat,Smudge The Second,Deuce,4,Himalayan 
7/21/2019 19:00:08,Dog,Tucker,Tucker,1,Bully mix
7/21/2019 19:00:39,Cat,Echo,Echo,18,
7/21/2019 19:00:49,Dog,Ames,Ames,5,Husky
7/21/2019 19:01:03,Dog,Franc,Franc,0.33,Mastiff cross
7/21/2019 19:01:09,Cat,Winnie,Winnie,0.33,
7/21/2019 19:01:31,Cat,Tiggy,Tiggy,0.33,
7/21/2019 19:02:05,Dog,Oliver Jackson ,Oliver/baby/little Man,5,Morkie
7/21/2019 19:02:07,Dog,Dolly Doodle Dogger,Dolly,6,Labradoodle
7/21/2019 19:02:14,Cat,Ann Perkins ,Ann ,0.5,Mixed
7/21/2019 19:02:32,Dog,Cassie,Cassie,5,Mix
7/21/2019 19:02:36,Cat,Kisa Marie,Kisa,6,
7/21/2019 19:02:46,Dog,Logan,Logan Brogran,2,Rhodesian Ridgeback 
7/21/2019 19:02:46,Dog,Basil,Basil,7,Lab/German Shepard mix
7/21/2019 19:02:53,Dog,Marble,Marble,5,Plott/Coonhound mix
7/21/2019 19:03:05,Dog,Hollie,Hollie,14,Westie
7/21/2019 19:03:15,Dog,Cash Money,Cashie,2,Labrador Retriever
7/21/2019 19:03:29,Dog,Seamus,Shamie Bameee,11,Rhodesian Ridgeback 
7/21/2019 19:03:40,Cat,William Robert,Billy,3,
7/21/2019 19:03:50,Dog,Nash,Nash,2,Labrador Retriever
7/21/2019 19:03:53,Cat,Spoons,Spoons,3,Calico
7/21/2019 19:03:58,Cat,Arizona,Arizona,7,Domestic shorthair/orange tabby
7/21/2019 19:04:11,Dog,Sian Ben Ryan,Sian Or Sisi,14,Westie
7/21/2019 19:04:22,Dog,Bear 2,Bear,7.5,Retriever Mix
7/21/2019 19:04:23,Cat,Banjo,Banj,3,DSH
7/21/2019 19:04:38,Other,Fossedini Heraldo Macduff,Fosse,10,
7/21/2019 19:04:44,Cat,Princess Melanie,Melanie,5,Domestic Longhair
7/21/2019 19:04:55,Cat,Tiffany Marie,Tiffany,13,DSH
7/21/2019 19:05:01,Dog,Charles Barrath Mcintyre,Barry,6,Basset Hound
7/21/2019 19:05:33,Dog,Margeurite Larioux Gonzales,Maggie,6,Chihuahua-Lab
7/21/2019 19:05:38,Dog,Rusty,Rusty,2,Fox red lab
7/21/2019 19:05:51,Dog,Starfire,Star,15,Maltese poodle
7/21/2019 19:05:52,Dog,Nova,Nova,2,Mixed Breed
7/21/2019 19:05:53,Dog,Dinty,The Dint,5,Terrier mix
7/21/2019 19:06:27,Cat,Hamilton,Hammy Bits,3,
7/21/2019 19:06:28,Dog,Kadie Jo,Kadie Jo,6,Labrador Retriever
7/21/2019 19:06:41,Cat,Incandenza,Ink,3,
7/21/2019 19:06:44,Cat,Fitzgerald,Fitz,8,Domestic shorthair
7/21/2019 19:07:21,Cat,Zelda,Zelda,8,Domestic shorthair
7/21/2019 19:07:26,Dog,Daisy Duke,Daisy ,4,Siberian husky/Brittany spaniel cross
7/21/2019 19:08:00,Other,Stewie,Stewie,2,
7/21/2019 19:08:23,Dog,Sunny Sunday Sky,Sunny,15.5,Beagle  / Mix
7/21/2019 19:08:33,Other,Francisco,Cisco,2,
7/21/2019 19:08:36,Other,Dream On Chip,Diva,15,Appaloosa
7/21/2019 19:08:54,Dog,Bailey,Bailey ,3,Border collie / Mix
7/21/2019 19:09:11,Other,Tundra,Tundra,12,"Mixed breed (Appaloosa, paint, Tennessee walker)"
7/21/2019 19:09:49,Dog,Bosco Spaghettio,Bosco,9,Border collie / Mix
7/21/2019 19:09:51,Cat,Agnes Marie,Aggie Turd,2,
7/21/2019 19:10:04,Dog,Tansei,Duffus,7,Shiba Inu
7/21/2019 19:10:28,Cat,Edith,Eduf Monster,1,
7/21/2019 19:10:39,Cat,Mini,Mimi,13,Tuxedo 
7/21/2019 19:11:02,Cat,Theodore ,Ted,4,persian
7/21/2019 19:11:28,Dog,Molly,Molly,16,Golden Retriever / Mix
7/21/2019 19:11:29,Dog,Duke Dukington,Duka,3,Chihuahua  / Mix
7/21/2019 19:11:58,Cat,Oliver Newton,Ollie,4,Maine Coon
7/21/2019 19:12:21,Dog,Prince Phillip The 2nd,Phillip,12,West Highland White Terrier
7/21/2019 19:12:29,Cat,Starla,Starla,4,Domestic shorthair 
7/21/2019 19:13:28,Dog,Petey,Petey Poopoo Head,11,West Highland White Terrier
7/21/2019 19:13:57,Dog,President Nixon ,Nixy ,8,Mixed Breed
7/21/2019 19:14:02,Dog,Daisy Doodle Fat Kid With Butt Spots,Daisy ,4,Hound x
7/21/2019 19:14:07,Dog,Benry Of Willowbrook,Benry,8,Golden Retriever / Mix
7/21/2019 19:14:44,Dog,Qoda,Qoda,2.5,Golden Retriever / Mix
7/21/2019 19:15:16,Dog,Ziggy Starsog,Zig,15,Hound x
7/21/2019 19:15:17,Dog,Samuel Labrador,Sam,13,Labrador 
7/21/2019 19:16:15,Other,Princess Consuela Banana Hammock,Banana,deceased,
7/21/2019 19:17:41,Dog,Bentley Boy,Bentley,13,Shi-tzu/Bichon 
7/21/2019 19:17:43,Dog,Taco Belle ,Taco,0,Taco
7/21/2019 19:17:43,Dog,Pluto,Pluto,deceased,Golden Retriever / Mix
7/21/2019 19:18:09,Other,Scooter Computer,Scooter,2,
7/21/2019 19:18:55,Dog,Toby,Toby,6,Beagle  / Mix
7/21/2019 19:19:07,Dog,Harlee ,Harlee,3,Anatolian Shepherd
7/21/2019 19:20:34,Dog,Nessa,Nessa,1,Golden Retriever / Mix
7/21/2019 19:21:18,Dog,Biscuit Bandit ,Bandit,3,Labrador 
7/21/2019 19:21:25,Cat,Sophie,Fuzzbutt,2,
7/21/2019 19:21:30,Dog,The Real Slim Sadie ,Sadie ,15,Golden Retriever / Mix
7/21/2019 19:21:30,Dog,Quincy Sugarplum,Quincy ,3,Golden Retriever / Mix
7/21/2019 19:21:52,Dog,Skipper Doo,Skip,4,Yorkie 
7/21/2019 19:21:59,Dog,Sam Ruffalo,Sam,6,Golden Retriever / Mix
7/21/2019 19:22:05,Dog,Brutus Buckeye,Brutus ,deceased,Golden Retriever / Mix
7/21/2019 19:22:49,Dog,Crespo ,Crespo Or Baby 😂,12,shihtzu and mixed 
7/21/2019 19:22:58,Dog,Rossignol,Rozzie,deceased,Siberian Husky
7/21/2019 19:23:28,Other,Peaches,Peaches,3,
7/21/2019 19:23:55,Dog,Pepper,Pepper,4,Mix
7/21/2019 19:24:04,Dog,Amaya,Maya,6,Siberian Husky
7/21/2019 19:24:22,Cat,Eloise ,Ellie,10,
7/21/2019 19:24:47,Cat,Olive,Ollie,4,
7/21/2019 19:25:04,Cat,Kiki Buntain,Kiki,18,Mutt
7/21/2019 19:25:15,Dog,Tiger ,Tiger,12,
7/21/2019 19:25:27,Dog,Bonnie,Bonnie,8,Westie
7/21/2019 19:26:21,Dog,Abby,Abby,11,Cavalier King Charles Spaniel 
7/21/2019 19:26:36,Other,Gomez,Gomie,10,High yellow leopard gecko
7/21/2019 19:26:49,Dog,Cooper,Coop,7,Labrador 
7/21/2019 19:27:37,Dog,Chase,Chase,3,Husky mix
7/21/2019 19:27:38,Other,Steve Hammond,Steve,0.33,Russian Campbell
7/21/2019 19:27:52,Dog,Montgomery T Dog ,Monty,2,Dalmatian labrador Cross 
7/21/2019 19:28:36,Dog,Nana Roo,Nana,5,German Shepherd / Mix
7/21/2019 19:28:52,Cat,Ella Grey,Ella,7,
7/21/2019 19:29:31,Dog,Callie ,Cal Gal (the Golden),3,Golden Retriever / Mix
7/21/2019 19:29:31,Dog,Rocco Norbert,Rocco,10,Golden Retriever / Mix
7/21/2019 19:29:34,Dog,Jack,Jack,3,Terrier something or other
7/21/2019 19:29:52,Dog,Ted,Ted,0.5,Welsh Terrier
7/21/2019 19:29:52,Other,Desiree,Desiree,11,Rosy boa
7/21/2019 19:30:01,Dog,Jaida Lynn,Jaida,12,Black lab / terrier
7/21/2019 19:30:16,Other,Gaia,Gaia,10,Dumeril’s boa
7/21/2019 19:30:39,Dog,Daisy Lulu,Daisy,9,Toy Poodle
7/21/2019 19:30:58,Cat,Phillip,Phillip,16,Yellow buddy tabby?
7/21/2019 19:31:00,Cat,Sunni,Sunni,10,Birman
7/21/2019 19:31:27,Cat,Nymeria,Nym,5,DMH
7/21/2019 19:31:40,Cat,Scarlett,Scar,0,n/a
7/21/2019 19:31:51,Cat,Ink,Ink,0.5,DMH
7/21/2019 19:32:07,Cat,Drew,Drewbeans,7,
7/21/2019 19:32:21,Dog,Titus ,Titus ,7,Labrador 
7/21/2019 19:32:35,Cat,Midna,Midna,8,Dsh
7/21/2019 19:32:40,Dog,Cookie Asparagus ,Cookie,11,Chihuahua Jack Russell Terrier
7/21/2019 19:32:42,Dog,Tessa Leigh,Tessa,11,Labradoodle
7/21/2019 19:32:49,Dog,Ali,Ali,5,Greyhound
7/21/2019 19:32:56,Dog,Daisy,Daisy/dandelion,4,Lab mix
7/21/2019 19:33:02,Dog,Lucky ,Luck Luck ,5,Labrador 
7/21/2019 19:33:14,Cat,Rex,Rex,7,Maine coon
7/21/2019 19:33:23,Dog,Harper Jean,Harper Jean,15,German Shepherd / Mix
7/21/2019 19:33:26,Cat,Maverick,Maverick,2,
7/21/2019 19:33:27,Other,Rork,Rork,2,
7/21/2019 19:33:41,Cat,Tina Fay,Tina,6,
7/21/2019 19:33:44,Cat,Sophie,Sophie,4,Dsh
7/21/2019 19:33:49,Dog,Max-well,Max,6,Golden Retriever / Mix
7/21/2019 19:33:53,Dog,Mica,Mica,6,Lab mix
7/21/2019 19:34:12,Cat,Patches,Patches ,10,Tuxedo cat
7/21/2019 19:34:13,Cat,Asch,Asch,4,Dsh
7/21/2019 19:35:11,Other,Yuri,Yuri,1,Rat
7/21/2019 19:35:36,Other,Ravio,Ravio,1,Rat
7/21/2019 19:35:43,Dog,Sylvester Balboa,Sly,6,Golden Retriever / Mix
7/21/2019 19:35:56,Dog,Mia Roo ,Mia,11,Australian Shepherd / Mix
7/21/2019 19:36:12,Other,Melody,Melody,1,Winter white hampster
7/21/2019 19:36:15,Dog,Casper Tiberus,Casp,4,Mixed
7/21/2019 19:36:16,Dog,Chummy,Chumbles,5,Labradoodle
7/21/2019 19:36:33,Dog,Luna Bean ,Luna,7,Italian greyhound  / Mix
7/21/2019 19:36:40,Other,Brown Gerbil,Brown Gerb,2,Gerbil
7/21/2019 19:36:52,Cat,Gabby Comacho,Cho Cho,16,Domestic Shorthair
7/21/2019 19:37:04,Other,White Gerbil,White Gerb,2,Gerbil
7/21/2019 19:37:07,Dog,Sofie Tooter Scooter ,Sofie,7,Chihuahua 
7/21/2019 19:37:17,Dog,Mojo,Mojo,5,Labradoodle
7/21/2019 19:37:27,Dog,Grace ,Grace,1,Mix
7/21/2019 19:37:34,Cat,Misha ,Misha ,8,Tabby 
7/21/2019 19:37:43,Dog,Frankie,Frankie,1,Mix
7/21/2019 19:37:45,Other,Dollar Dollar Bills Y'all,Bill,2,Guinea Pig
7/21/2019 19:37:53,Dog,Osa,Osa,9,Akita husky mix 
7/21/2019 19:37:58,Dog,Dixie,Dixie,12,Pit Bull mix
7/21/2019 19:38:15,Cat,Barnabas ,Bucky ,0.91,Mix 
7/21/2019 19:38:15,Dog,Nina,Nina,7,West Highland Terrier
7/21/2019 19:38:28,Cat,Bitsy,Bitsy,15,Domestic shorthair
7/21/2019 19:39:10,Dog,Rachel,Rachel ,8,Schnauzer 
7/21/2019 19:40:12,Dog,Piper,Piper,9,Labrador Retriever
7/21/2019 19:40:14,Dog,Bella,Belly,10,Yorkie 
7/21/2019 19:40:20,Dog,Queen Khaleesi,Queenie,12,Mountain Dog mix
7/21/2019 19:40:38,Cat,Pumpkin,Pumpkin,6,
7/21/2019 19:40:55,Dog,Bridget ,Bridgy,15,Mutt
7/21/2019 19:40:59,Dog,Bodacious ,Bodie,14,Black Labrador Retriever / Mix
7/21/2019 19:41:22,Dog,Mama Rose,Rosie ,7,Pit bull
7/21/2019 19:41:25,Dog,Augustus,Gus,0,Golden Retriever / Mix
7/21/2019 19:41:36,Cat,Sunshine,Sunshine,7,Tiger stripe (orange)
7/21/2019 19:42:53,Dog,Tater,Tater,0.25,Labrador & great pieraneese
7/21/2019 19:42:55,Cat,Millicent ,Millie,6,
7/21/2019 19:43:11,Other,Gustavus Ericius Hedgehog Of The North,Gus,1.5,
7/21/2019 19:43:16,Dog,Beverly Ann,Beverlana,13,Golden Retriever / Mix
7/21/2019 19:43:41,Dog,Cora Smalls,Cora,3,Havanese 
7/21/2019 19:43:41,Dog,Jasper,Jasper,16,dalmation/beagle
7/21/2019 19:43:41,Cat,Dust,Dust,1,
7/21/2019 19:43:50,Dog,Caleb, Caliber ,15,Blue Tick Coon Hound  / Mix
7/21/2019 19:44:11,Dog,Tonka,Tonks,8,Newfoundland
7/21/2019 19:44:29,Bird,Spike,Spiker-doodle,13,Cockatiel 
7/21/2019 19:44:40,Cat,Ash,Ashy Boy ,9,
7/21/2019 19:44:53,Cat,Blossom ,Moose,6,British long hair 
7/21/2019 19:44:53,Cat,Violet ,Violet ,14,Shorthair 
7/21/2019 19:45:10,Cat,Thor ,Thor,4,
7/21/2019 19:45:14,Dog,Hank ,Baby,2,Boxer
7/21/2019 19:45:27,Dog,Brandy,Puddin,5,Lab/pitbull mix
7/21/2019 19:45:43,Cat,Lily ,Lillibutt,11,Shorthair 
